WPS Rank,,,Women Peace and Security Index,Education, ,Employment,,Financial Inclusion,,Cell Phone Use,,Parliamentary Representation,,Absence of legal discrimination,,Access to justice,,Maternal mortality ratio,,Son bias,,Intimate partner violence ,,Community safety,,Political violence targeting women,,Proximity to conflict
2023,Country,Region,2023,2016-2021,a,2018 - 2022,a,2021,,2022,,2023,,2023,,2022,a,2020,,2022,,2018,,2020-2022,a,2022,,2021-2022
1,Denmark,,0.932,13.2,,77,,100,,100,,43.6,,100,,3.96,,4.7,,105.7,,3,,78,,0,,0
2,Switzerland,,0.928,13.5,,78.4,,99,,91,,39.3,,88.1,,3.893,,7.4,,105.1,,2,,85,,0,,0
3,Sweden,,0.926,12.8,,80,,100,,100,,46.4,,100,,3.806,,4.5,,105.7,,6,,74,,0,,0
4,Finland,,0.924,13,,77.7,,99.1,,100,,45.5,,97.5,,3.419,,8.3,,105.2,,8,,78,,0,,0
4,Iceland,,0.924,13.9,,78.6,,100,,100,,47.6,,100,,3.344,,2.7,v,106.1,,3,,74,,0,,0
4,Luxembourg,,0.924,13,,73,,98.2,b,94,,35,,100,,3.856,,6.5,,105.2,,4,,88,,0,,0
7,Norway,,0.92,13.1,,78.6,,100,,100,,46.2,,96.9,,3.118,,1.7,v,106.2,,4,,86,,0,,0
8,Austria,,0.911,12,,72.2,,100,,95,,40.6,,96.9,,3.397,,5.2,,105.5,,4,,82,,0,,0
9,Netherlands,,0.908,12.4,,77.2,,99.5,,92,,37.8,,100,,3.479,,4.3,,105.2,,5,,72,,0,,0
10,New Zealand,,0.904,12.9,,78.2,,99.2,,96,,50,,97.5,,3.583,,7,,105.3,,4,,42,,0,,0
11,Australia,,0.902,12.8,,75.2,,100,,94,,44.5,,96.9,,3.703,,2.9,v,105.6,,3,,54,,0,,0
11,Belgium,,0.902,12.3,,69.9,,98.7,,93,,43.3,,100,,3.897,,4.8,,104.8,,5,,56,,0,,0
13,Estonia,,0.892,13.8,,79,,99.6,,100,,27.7,,97.5,,3.444,,5.2,,106.1,,4,,71,,0,,0
13,Ireland,,0.892,11.8,,70.8,,99.5,,92,,27.4,,100,,3.745,,5,,105.5,,3,,78,,0,,0
15,Singapore,,0.887,11.6,,75.9,,96.9,,100,,29.1,,82.5,,3.251,,7.5,,106,,2,,94,,0,,0
16,Lithuania,,0.886,13.6,,79.3,,90.4,,95,,28.4,,93.8,,3.721,,8.7,,105.2,,5,,61,,0,,0
17,Canada,,0.885,13.9,,75.1,,99.5,,85,,35.2,,100,,2.607,,11,,105.4,,3,,61,,0,,0
18,Czechia,,0.884,12.7,,75.1,,93.4,,99,,23.8,,93.8,,3.849,,3.4,v,105.3,,4,,67,,0,,0
19,Portugal,,0.877,9.6,,76.7,,90.2,,92,,36.1,,100,,3.177,,11.8,,105.5,,4,,72,,0,,0
20,Latvia,,0.872,13.6,,74.8,,97.6,,100,,29,,100,,3.527,,18.3,,106.5,,6,,62,,0,,0
21,Germany,,0.871,13.8,,76.9,,100,,88,,35.5,,100,,3.901,,4.4,,105.6,,3,c,71,,0.007,,0
22,United Arab Emirates,,0.868,12.5,,55.7,,86.7,,100,,50,,82.5,,2.107,,9.3,,104.6,,17.9,g,93,,0,,0
23,Japan,,0.866,13.3,,77,,98.8,,91,,15.5,,78.8,,3.614,,4.3,,105.1,,4,,70,,0,,0
24,France,,0.864,11.4,,72.7,,100,,88,,36.8,,100,,3.436,,7.9,,104.9,,5,,69,,0.003,,0
25,Croatia,,0.862,11.9,,66.1,,90,,89,,31.8,,93.8,,3.323,,4.8,,106,,4,,71,,0,,0
26,United Kingdom,,0.86,13.4,,75.4,,99.9,,92,,31.5,,97.5,,3.265,,9.8,,105.5,,4,,74,,0.006,,0
