DATASET,ISO,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,2022,Normalized ,,,,,,,,,
IMF.RES:WEO(6.0.0),AFG,OBS_VALUE,"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,2093.93,0.007933063,,,,,,,,,
IMF.RES:WEO(6.0.0),DZA,OBS_VALUE,Algeria,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,15906.751,0.102948249,,,,,,,AVG,MAX,MIN
IMF.RES:WEO(6.0.0),AGO,OBS_VALUE,Angola,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,9601.006,0.059572494,,,,,,,27061.44576,146315.538,940.662
IMF.RES:WEO(6.0.0),ATG,OBS_VALUE,Antigua and Barbuda,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,27577.701,0.183230003,,,,,,,,,
IMF.RES:WEO(6.0.0),ARG,OBS_VALUE,Argentina,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,29068.305,0.193483522,,,,,,,,,
IMF.RES:WEO(6.0.0),ARM,OBS_VALUE,"Armenia, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,19414.998,0.127080666,,,,,,,,,
IMF.RES:WEO(6.0.0),ABW,OBS_VALUE,"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,41135.748,0.276492659,,,,,,,,,
IMF.RES:WEO(6.0.0),AUS,OBS_VALUE,Australia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,65920.116,0.446978569,,,,,,,,,
IMF.RES:WEO(6.0.0),AUT,OBS_VALUE,Austria,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,71523.899,0.48552569,,,,,,,,,
IMF.RES:WEO(6.0.0),AZE,OBS_VALUE,"Azerbaijan, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,22727.892,0.149869294,,,,,,,,,
IMF.RES:WEO(6.0.0),BHS,OBS_VALUE,"Bahamas, The","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,34564.924,0.231293487,,,,,,,,,
IMF.RES:WEO(6.0.0),BHR,OBS_VALUE,"Bahrain, Kingdom of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,61510.054,0.416642777,,,,,,,,,
IMF.RES:WEO(6.0.0),BGD,OBS_VALUE,Bangladesh,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,8493.936,0.051957217,,,,,,,,,
IMF.RES:WEO(6.0.0),BRB,OBS_VALUE,Barbados,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,19304.709,0.126322013,,,,,,,,,
IMF.RES:WEO(6.0.0),BLR,OBS_VALUE,"Belarus, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,27875.73,0.185280075,,,,,,,,,
IMF.RES:WEO(6.0.0),BEL,OBS_VALUE,Belgium,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,68904.544,0.467507756,,,,,,,,,
IMF.RES:WEO(6.0.0),BLZ,OBS_VALUE,Belize,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,13643.81,0.087382004,,,,,,,,,
IMF.RES:WEO(6.0.0),BEN,OBS_VALUE,Benin,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3961.229,0.020777779,,,,,,,,,
IMF.RES:WEO(6.0.0),BTN,OBS_VALUE,Bhutan,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,14197.077,0.091187799,,,,,,,,,
IMF.RES:WEO(6.0.0),BOL,OBS_VALUE,Bolivia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,10473.553,0.065574543,,,,,,,,,
IMF.RES:WEO(6.0.0),BIH,OBS_VALUE,Bosnia and Herzegovina,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,19346.667,0.126610633,,,,,,,,,
IMF.RES:WEO(6.0.0),BWA,OBS_VALUE,Botswana,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,18530.72,0.120997923,,,,,,,,,
IMF.RES:WEO(6.0.0),BRA,OBS_VALUE,Brazil,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,19824.369,0.129896634,,,,,,,,,
IMF.RES:WEO(6.0.0),BRN,OBS_VALUE,Brunei Darussalam,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,83632.759,0.568819725,,,,,,,,,
IMF.RES:WEO(6.0.0),BGR,OBS_VALUE,Bulgaria,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,35117.785,0.235096489,,,,,,,,,
IMF.RES:WEO(6.0.0),BFA,OBS_VALUE,Burkina Faso,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,2627.876,0.011605953,,,,,,,,,
IMF.RES:WEO(6.0.0),BDI,OBS_VALUE,Burundi,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,940.662,0,,,,,,,,,
IMF.RES:WEO(6.0.0),CPV,OBS_VALUE,Cabo Verde,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,9861.034,0.061361167,,,,,,,,,
IMF.RES:WEO(6.0.0),KHM,OBS_VALUE,Cambodia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,7064.245,0.042122705,,,,,,,,,
IMF.RES:WEO(6.0.0),CMR,OBS_VALUE,Cameroon,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,5137.153,0.028866687,,,,,,,,,
IMF.RES:WEO(6.0.0),CAN,OBS_VALUE,Canada,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,61713.877,0.418044828,,,,,,,,,
IMF.RES:WEO(6.0.0),CAF,OBS_VALUE,Central African Republic,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,1250.613,0.002132081,,,,,,,,,
IMF.RES:WEO(6.0.0),TCD,OBS_VALUE,Chad,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,2780.51,0.012655887,,,,,,,,,
IMF.RES:WEO(6.0.0),CHL,OBS_VALUE,Chile,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,31235.034,0.208387947,,,,,,,,,
IMF.RES:WEO(6.0.0),CHN,OBS_VALUE,"China, People's Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,23020.156,0.15187971,,,,,,,,,
IMF.RES:WEO(6.0.0),COL,OBS_VALUE,Colombia,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,20156.819,0.13218348,,,,,,,,,
IMF.RES:WEO(6.0.0),COM,OBS_VALUE,"Comoros, Union of the","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,3570.97,0.018093278,,,,,,,,,
IMF.RES:WEO(6.0.0),COD,OBS_VALUE,"Congo, Democratic Republic of the","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,1574.227,0.004358146,,,,,,,,,
IMF.RES:WEO(6.0.0),COG,OBS_VALUE,"Congo, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6083.689,0.035377688,,,,,,,,,
IMF.RES:WEO(6.0.0),CRI,OBS_VALUE,Costa Rica,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,26163.154,0.173499663,,,,,,,,,
IMF.RES:WEO(6.0.0),CIV,OBS_VALUE,Côte d'Ivoire,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,6756.229,0.040003934,,,,,,,,,
IMF.RES:WEO(6.0.0),HRV,OBS_VALUE,"Croatia, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,42682.077,0.287129497,,,,,,,,,
IMF.RES:WEO(6.0.0),CYP,OBS_VALUE,Cyprus,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,57156.837,0.386698008,,,,,,,,,
IMF.RES:WEO(6.0.0),CZE,OBS_VALUE,Czech Republic,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,53448.101,0.361186475,,,,,,,,,
IMF.RES:WEO(6.0.0),DNK,OBS_VALUE,Denmark,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,76301.226,0.518387813,,,,,,,,,
IMF.RES:WEO(6.0.0),DJI,OBS_VALUE,Djibouti,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,7409.799,0.044499691,,,,,,,,,
IMF.RES:WEO(6.0.0),DMA,OBS_VALUE,Dominica,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,15995.551,0.103559084,,,,,,,,,
IMF.RES:WEO(6.0.0),DOM,OBS_VALUE,Dominican Republic,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,26037.215,0.172633358,,,,,,,,,
IMF.RES:WEO(6.0.0),ECU,OBS_VALUE,Ecuador,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,15291.225,0.098714189,,,,,,,,,
