countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.321,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.36,
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.705,
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.837,
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.866,
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.761,
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.743,
AUS,Australia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.873,
AUT,Austria,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.861,
AZE,Azerbaijan,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.735,
BDI,Burundi,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.286,
BEL,Belgium,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.891,
BEN,Benin,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.316,
BFA,Burkina Faso,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.273,
BGD,Bangladesh,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.482,
BGR,Bulgaria,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.748,
BHS,Bahamas,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.67,
BIH,Bosnia and Herzegovina,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.689,
BLR,Belarus,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.771,
BOL,Bolivia (Plurinational State of),IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.578,
BRA,Brazil,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.594,
BRB,Barbados,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.62,
BRN,Brunei Darussalam,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.756,
BTN,Bhutan,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.478,
BWA,Botswana,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.509,
CAF,Central African Republic,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.253,
CAN,Canada,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.867,
CHE,Switzerland,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.894,
CHL,Chile,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.723,
CHN,China,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.67,
CIV,Côte d'Ivoire,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.35,
CMR,Cameroon,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.361,
COD,Congo (Democratic Republic of the),IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.341,
COG,Congo,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.426,
COL,Colombia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.593,
COM,Comoros,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.356,
CPV,Cabo Verde,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.478,
CRI,Costa Rica,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.678,
CYP,Cyprus,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.841,
CZE,Czechia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.867,
DEU,Germany,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.89,
DJI,Djibouti,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.341,
DNK,Denmark,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.909,
DOM,Dominican Republic,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.634,
DZA,Algeria,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.601,
ECU,Ecuador,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.64,
EGY,Egypt,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.582,
ESP,Spain,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.819,
EST,Estonia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.841,
ETH,Ethiopia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.326,
FIN,Finland,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.891,
FJI,Fiji,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.626,
FRA,France,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.836,
GAB,Gabon,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.558,
GBR,United Kingdom,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.869,
GEO,Georgia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.754,
GHA,Ghana,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.399,
GIN,Guinea,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.302,
GMB,Gambia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.329,
GNB,Guinea-Bissau,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.331,
GRC,Greece,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.825,
GTM,Guatemala,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.479,
HKG,"Hong Kong, China (SAR)",IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.839,
HND,Honduras,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.496,
HRV,Croatia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.828,
HTI,Haiti,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.337,
HUN,Hungary,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.819,
IDN,Indonesia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.608,
IND,India,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.475,
IRL,Ireland,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.886,
IRN,Iran (Islamic Republic of),IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.643,
IRQ,Iraq,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.534,
ISL,Iceland,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.923,
ISR,Israel,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.813,
ITA,Italy,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.817,
JAM,Jamaica,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.59,
JOR,Jordan,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2023,0.637,
